Date,NDVI,RCC,YCC,BCC,ExG,PAR,NDWI,LST_K
2025-01-01,0.6248915324765649,0.3415611058691292,0.6792749132113427,0.32072508678865763,0.008071669644870699,1.3329516129032244,-0.17822201177498015,39371.975233237776
2025-01-03,0.6216947068957667,0.3415698015220013,0.6792583216240501,0.3207416783759502,0.00821761138604809,1.5720250278086751,-0.17749852141412817,39061.76186863044
2025-01-05,0.6184978813149685,0.3415861466282012,0.6792533979967661,0.3207466020032343,0.008362820062699129,1.795929604322262,-0.1768247727137347,38772.71829261985
2025-01-07,0.6153010557341703,0.3416101411877288,0.6792601423294905,0.32073985767050983,0.008507295674823811,2.004665342443985,-0.17620076567379978,38504.844505206
2025-01-09,0.6121042301533721,0.3416417852005843,0.6792785546222234,0.3207214453777769,0.008651038222422138,2.1982322421738436,-0.17562650029432336,38258.140506388896
2025-01-11,0.6089074045725739,0.3416810786667675,0.6793086348749648,0.3206913651250355,0.00879404770549411,2.3766303035118383,-0.1751019765753055,38032.60629616853
2025-01-13,0.6057105789917756,0.3417280215862785,0.6793503830877147,0.32064961691228555,0.008936324124039729,2.5398595264579695,-0.17462719451674613,37828.24187454491
2025-01-15,0.6025137534109775,0.3417826139591173,0.6794037992604731,0.3205962007395271,0.00907786747805899,2.6879199110122363,-0.17420215411864529,37645.047241518034
2025-01-17,0.5993169278301792,0.3418448557852839,0.67946888339324,0.3205311166067602,0.009218677767551899,2.8208114571746385,-0.17382685538100298,37483.022397087894
2025-01-19,0.5901704029794398,0.34191474706477826,0.6795456354860154,0.32045436451398474,0.00935875499251845,2.9385341649451773,-0.17350129830381922,37342.167341254506
2025-01-21,0.5810238781287005,0.34199228779760044,0.6796340555387993,0.3203659444612008,0.009498099152958647,3.0410880343238524,-0.17322548288709394,37222.482074017855
2025-01-23,0.5718773532779611,0.3420774779837504,0.6797341435515917,0.3202658564484084,0.00963671024887249,3.128473065310663,-0.1729994091308272,37123.96659537795
2025-01-25,0.5627308284272217,0.3421703176232281,0.6798458995243926,0.32015410047560744,0.009774588280259976,3.20068925790561,-0.172823077035019,37046.62090533479
2025-01-27,0.5535843035764823,0.34227080671603355,0.679969323457202,0.32003067654279804,0.009911733247121109,3.2577366121086926,-0.17269648659966932,36990.445003888366
2025-01-29,0.5444377787257428,0.34237894526216683,0.6801044153500199,0.3198955846499801,0.010048145149455885,3.2996151279199113,-0.17261963782477815,36955.43889103869
2025-01-31,0.5352912538750035,0.3425746404058149,0.6803767993115772,0.31962320068839145,0.010371573992137529,3.2818080357141826,-0.17238494663830942,36917.82235876003
2025-02-02,0.5261447290242641,0.34272279017294655,0.6805904081377995,0.31940959186216916,0.010618528367987193,3.196886160714185,-0.1722521440666597,36920.58533759596
2025-02-04,0.5307842992042526,0.3428478299910025,0.6807279659569837,0.31927203404298504,0.010715177513747677,3.0958058035713316,-0.1722663736069204,36956.69782773982
2025-02-06,0.5354238693842411,0.3429860261994253,0.6809024871311199,0.3190975128688488,0.010851525012140728,2.9670379464284773,-0.17232873175422359,37022.22365586363
2025-02-08,0.5400634395642296,0.3431331207074461,0.6811078255767022,0.3188921744232663,0.011022069836382651,2.9311517857141935,-0.17243685076802923,37117.03965675329
2025-02-10,0.5447030097442181,0.3432848554242963,0.6813378352102252,0.31866216478974324,0.011221310959689739,2.9213102678570513,-0.17258836290779742,37241.02266519466
2025-02-12,0.5493425799242067,0.3434369722592071,0.6815863699481831,0.31841363005178536,0.01144374735527829,2.873107142857052,-0.1727809004329882,37394.04951597365
2025-02-14,0.5539821501041952,0.3435852131214098,0.6818472837070698,0.3181527162928986,0.011683877996364608,2.850622767857053,-0.17301209560306166,37575.99704387614
2025-02-16,0.5586217202841837,0.34376949358781034,0.682115863593675,0.31788413640629337,0.011856830691411547,2.726921874999914,-0.1733846590389274,37706.31588951008
2025-02-18,0.5632612904641722,0.3439547678598666,0.6823849646342871,0.3176150353656813,0.01201242371028174,2.7773035714284835,-0.17382298656630787,37840.93750784597
2025-02-20,0.5655899020356806,0.345290187038951,0.6826002714331271,0.31739972856684134,0.009431135022987645,2.7187924107141996,-0.17447890810057182,38136.3962299242
2025-02-22,0.567918513607189,0.3461928783576424,0.6828217120457435,0.3171782879542249,0.007823114330379407,2.7109642857142005,-0.17514346532496555,38374.27949581254
2025-02-24,0.5702471251786975,0.34668991168548735,0.6830418924938668,0.3169581075061015,0.007109597634777817,2.685560267857059,-0.17582030727380743,38557.12559204472
2025-02-26,0.5725757367502059,0.3468083568920322,0.6832534187992277,0.31674658120074056,0.007211820938503662,2.8179843749999107,-0.17651308298141588,38687.472805154546
2025-02-28,0.5749043483217143,0.34657528384682357,0.6834488969835566,0.31655110301641176,0.00805102024387774,3.0109598214284765,-0.1772254414821094,38767.85942167578
2025-03-02,0.5772329598932228,0.34601776241940774,0.6836209330685842,0.3163790669313843,0.00954843155322084,3.105232142857045,-0.17796103181020634,38800.823728142175
2025-03-04,0.5795615714647312,0.3451968277922141,0.6838778539050914,0.3161221460948771,0.011935369341125698,3.17842857142847,-0.17819292423169963,38756.69270314071
2025-03-06,0.5818901830362396,0.3441158770409617,0.6841316116036522,0.31586838839631615,0.014916954311056902,3.22238169642847,-0.1782945651042861,38660.454938743846
2025-03-08,0.587614880213115,0.34179579098876095,0.6845510954663186,0.31544890453364977,0.021112136027479782,3.5450334821427463,-0.17663900055963488,38199.5707923932
2025-03-10,0.5933395773899903,0.3396440159790232,0.6848925332296245,0.31510746677034396,0.02675920422954161,3.706921874999883,-0.1754405900623694,37806.905934577226
