Date,NDVI,RCC,YCC,BCC,ExG,PAR,NDWI,LST_K,bloom_tag,season_tag
2024-01-01,0.5611599105759709,0.0588379194912552,0.1168454788366331,0.054122263098851,0.0022049933491116,1.1756451612903225,-0.0375854291470216,32594.997764543143,,
2024-01-03,0.5520505824146927,0.0388552298527157,0.0771621086657011,0.0357411171407506,0.0014561276833756,1.2558231368186874,-0.0326721488502062,32574.88421678973,,
2024-01-05,0.5429412542534144,0.0210873703465266,0.0418771415925326,0.0193972903159373,0.0007902643697532,1.3358541236294292,-0.0284589576577824,32570.03129238523,,
2024-01-07,0.5338319260921363,0.005534340972688,0.0109905776171274,0.0050907826244109,0.0002074034082443,1.4157381217225486,-0.0249458555697501,32580.43899132964,,
2024-01-09,0.5247225979308581,-0.0078038582688001,-0.0154975832605143,-0.0071784059338284,-0.0002924552011508,1.4954751310980452,-0.0221328425861093,32606.107313622942,,
2024-01-11,0.5156132697695798,-0.0189272273779379,-0.0375873410403927,-0.0174102753587808,-0.0007093114584325,1.5750651517559189,-0.02001991870686,32647.03625926516,,
2024-01-13,0.5065039416083016,-0.0278357663547252,-0.0552786957225077,-0.0256048256504462,-0.0010431653636005,1.65450818369617,-0.0186070839320022,32703.22582825629,,
2024-01-15,0.4973946134470233,-0.0345294751991621,-0.0685716473068593,-0.0317620568088247,-0.0012940169166549,1.733804226918798,-0.017894338261536,32774.67602059632,,
2024-01-17,0.4882852852857451,-0.0390083539112486,-0.0774661957934475,-0.0358819688339162,-0.0014618661175958,1.812953281423804,-0.0178816816954613,32861.386836285266,,
2024-01-19,0.4936508190620641,-0.0412724024909846,-0.0819623411822724,-0.0379645617257206,-0.001546712966423,1.8919553472111863,-0.0185691142337781,32963.35827532311,,
2024-01-21,0.4990163528383832,-0.0413216209383701,-0.0820600834733338,-0.0380098354842381,-0.0015485574631367,1.970810424280946,-0.0199566358764865,33080.590337709866,,
2024-01-23,0.5043818866147022,-0.0391560092534053,-0.0777594226666318,-0.0360177901094686,-0.0014673996077367,2.0495185126330835,-0.0220442466235864,33213.08302344553,,
2024-01-25,0.5097474203910213,-0.03477556743609,-0.0690603587621664,-0.0319884256014122,-0.0013032394002231,2.128079612267598,-0.0248319464750778,33360.836332530096,,
2024-01-27,0.5151129541673403,-0.0281802954864242,-0.0559628917599377,-0.0259217419600687,-0.001056076840596,2.206493723184489,-0.0283197354309607,33523.85026496358,,
2024-01-29,0.5204784879436593,-0.019370193404408,-0.0384670216599455,-0.0178177391854383,-0.0007259119288552,2.2847608453837585,-0.0325076134912351,33702.12482074596,,
2024-01-31,0.5258440217199783,-0.0021509145097038,-0.0042714738725655,-0.0019785261274343,-8.060706818686393e-05,2.4920245535713503,-0.0389258459250853,33956.67054393314,,
2024-02-02,0.5312095554962973,0.012905487058223,0.0256288432353926,0.011871156764606,0.0004836424091211,2.617256696428489,-0.0440301892956454,34140.09713438052,,
2024-02-04,0.5347625965938373,0.0306505317632796,0.0608685026840577,0.0281939973159394,0.0011486507216627,2.64615401785706,-0.045609195419348,34180.11559461131,,BOS
2024-02-06,0.5383156376913774,0.0507001277287333,0.1006847412818999,0.0466366872895239,0.0019000237501189,2.633899553571345,-0.0471882015430506,34220.1340548421,,
2024-02-08,0.5418686787889173,0.0726701830778511,0.14431479583739,0.0668459184483176,0.0027233673751704,2.736249999999913,-0.0487672076667532,34260.152515072885,,
2024-02-10,0.5454217198864573,0.0961766059339002,0.1909959031589981,0.0884683825552787,0.0036042874774982,2.936522321428479,-0.0487672076667532,34260.152515072885,,
2024-02-12,0.5489747609839973,0.1208353044201478,0.2399653000551949,0.1111507713733653,0.0045283899377834,2.9488660714284785,-0.0487672076667532,34260.152515072885,,
2024-02-14,0.5525278020815373,0.146262186659861,0.2904602233344509,0.1345397766655356,0.0054812806367066,2.9046316964284795,-0.0487672076667532,34260.152515072885,,
2024-02-16,0.5560808431790774,0.1720731607763071,0.3417179098052365,0.1582820901947479,0.006448565454949,2.8680580357141943,-0.0487672076667532,34260.152515072885,,
2024-02-18,0.5596338842766173,0.1978841348927532,0.3929755962760219,0.1820244037239601,0.0074158502731913,2.976388392857049,-0.0487672076667532,34260.152515072885,,
2024-02-20,0.5603842753259844,0.2233110171324664,0.4434705195552779,0.2054134090161304,0.0083687409721146,3.2158950892856115,-0.0487672076667532,34260.152515072885,,
2024-02-22,0.5611346663753515,0.2479697156187139,0.4924399164514746,0.228095797834217,0.0092928434323997,3.440459821428463,-0.0487672076667532,34260.152515072885,,
2024-02-24,0.5618850574247186,0.2714761384747631,0.5391210237730828,0.2497182619411781,0.0101737635347276,3.677069196428455,-0.0487672076667532,34260.152515072885,SOB,
2024-02-26,0.5626354484740858,0.2934461938238809,0.5827510783285728,0.2699274930999717,0.0109971071597791,3.812261160714165,-0.0487672076667532,34260.152515072885,,
2024-02-28,0.5633858395234529,0.3134957897893345,0.6225673169264151,0.2883701830735562,0.0117484801882352,3.8193392857141664,-0.0487672076667532,34260.152515072885,,
2024-03-01,0.5641362305728199,0.3312408344943912,0.6578069763750801,0.3046930236248896,0.0124134885007768,3.823683035714165,-0.0487672076667532,34260.152515072885,,
2024-03-03,0.5648866216221871,0.346297236062318,0.6877072934830383,0.31854270651693,0.0129777379780849,3.903680803571306,-0.0487672076667532,34260.152515072885,,
2024-03-05,0.5656370126715542,0.3582809026163823,0.7115055050587601,0.3295659235126357,0.0134268345008403,4.225991071428439,-0.0487672076667532,34260.152515072885,,
