Date,NDVI,RCC,YCC,BCC,ExG,PAR,NDWI,LST_K
2025-01-01,0.21074569008847144,0.34443690796582593,0.6972247504550035,0.30277524954499696,0.0526752714430449,1.901798387096775,-0.10258261011220546,41744.959815661976
2025-01-03,0.21819353044838835,0.3447944642066049,0.6965071150353508,0.3034928849646497,0.049642946218547444,2.3576621245828706,-0.10615302411973684,41866.24640288662
2025-01-05,0.22564137080830526,0.3451424168536637,0.6958325256902436,0.30416747430975694,0.04676265907740347,2.794921261719372,-0.1095561093561286,41988.149367745056
2025-01-07,0.23308921116822215,0.34548076590700233,0.6952009824196819,0.3047990175803187,0.044034410019612974,3.2135757985062785,-0.1127918658213807,42110.668710237274
2025-01-09,0.24053705152813906,0.3458095113666207,0.6946124852236656,0.30538751477633497,0.04145819904517596,3.6136257349435894,-0.11586029351549317,42233.80443036328
2025-01-11,0.24798489188805597,0.3461286532325189,0.6940670341021948,0.3059329658978058,0.03903402615409242,3.995071071031306,-0.11876139243846599,42357.55652812307
2025-01-13,0.25543273224797286,0.3464381915046969,0.6935646290552695,0.30643537094473106,0.03676189134636237,4.357911806769428,-0.12149516259029919,42481.92500351663
2025-01-15,0.2628805726078898,0.34673812618315475,0.6931052700828897,0.30689472991711086,0.034641794621985786,4.702147942157955,-0.12406160397099272,42606.90985654399
2025-01-17,0.2703284129678067,0.3470284572678924,0.6926889571850554,0.30731104281494515,0.032673735980962695,5.027779477196887,-0.12646071658054664,42732.51108720513
2025-01-19,0.27321975155372435,0.3473091847589098,0.6923156903617665,0.307684309638234,0.03085771542329308,5.334806411886224,-0.1286925004189609,42858.72869550005
2025-01-21,0.2761110901396421,0.34758030865620704,0.6919854696130232,0.30801453038697735,0.02919373294897694,5.623228746225967,-0.13075695548623553,42985.56268142876
2025-01-23,0.27900242872555975,0.3478418289597841,0.6916982949388254,0.30830170506117516,0.027681788558014286,5.893046480216115,-0.13265408178237054,43113.013044991254
2025-01-25,0.2818937673114774,0.3480937456696409,0.691454166339173,0.3085458336608275,0.02632188225040511,6.144259613856667,-0.13438387930736587,43241.07978618753
2025-01-27,0.2847851058973951,0.34833605878577756,0.6912530838140661,0.30874691618593436,0.025114014026149413,6.376868147147626,-0.13594634806122158,43369.76290501759
2025-01-29,0.28767644448331275,0.34856876830819405,0.6910950473635047,0.30890495263649576,0.0240581838852472,6.590872080088989,-0.13734148804393764,43499.06240148144
2025-01-31,0.2905677830692305,0.34896536540883094,0.6909185445946924,0.3090814554052761,0.022533820227556192,6.900082589285499,-0.1394667993399088,43731.3880112006
2025-02-02,0.29345912165514815,0.3492318612015264,0.6908656543743881,0.3091343456255805,0.021704489475087088,7.0780312499997775,-0.14070450393127948,43897.37104728576
2025-02-04,0.2930361561085061,0.3493618155380821,0.6908616643106962,0.3091383356892723,0.0213766292096838,7.2062209821426295,-0.14142948383272141,43952.38087361832
2025-02-06,0.292613190561864,0.34950443469075876,0.6909304372217553,0.30906956277821324,0.021228464438286417,7.22783035714263,-0.14192054933708326,44038.144841175774
2025-02-08,0.29219022501522196,0.34965076074391765,0.6910747988601925,0.308925201139776,0.021291269114535702,7.476180803571194,-0.1421390330702198,44148.33881988206
2025-02-10,0.2917672594685799,0.34979183578192036,0.6912975749786353,0.30870242502133327,0.021596317192072428,7.591542410714046,-0.14204626765798567,44276.638679661155
2025-02-12,0.29134429392193784,0.34991870188912794,0.6916015913297109,0.30839840867025775,0.022174882624537345,7.622647321428333,-0.14160358572623566,44416.72029043701
2025-02-14,0.2909213283752958,0.350022401149902,0.6919896736660464,0.30801032633392217,0.02305823936557124,7.715223214285472,-0.1407723199008245,44562.25952213361
2025-02-16,0.2904983628286537,0.35025476311039133,0.6921541565917286,0.30784584340824006,0.0229515511587638,7.816421874999754,-0.14103298088649543,44769.37256815974
2025-02-18,0.29007539728201165,0.3504947658664387,0.6923142687810948,0.3076857312188739,0.02281035058900352,7.912870535714034,-0.14128808022381725,44988.216285101465
2025-02-20,0.2897391718202406,0.3506592777115795,0.692433966356121,0.30756603364384766,0.022748264465552594,8.00835044642832,-0.14146778018567774,45204.79072990036
2025-02-22,0.2894029463584695,0.35084820458771715,0.6925554018630188,0.30744459813694985,0.022624179261562637,8.04993303571403,-0.14164432936216084,45426.09363621875
2025-02-24,0.2890667208966985,0.35105359096539557,0.6926746478122896,0.3073253521876789,0.022447096291107613,8.191093749999744,-0.1418062469064313,45646.74910679425
2025-02-26,0.28873049543492746,0.3512674813151583,0.6927877767144349,0.3072122232855337,0.022226016868261433,8.259194196428313,-0.14194205197165385,45861.381244364435
2025-02-28,0.28839426997315637,0.3514819201075491,0.6928908610799558,0.3071091389200129,0.02196994230709803,8.312196428571164,-0.14204026371099332,46064.614151666945
2025-03-02,0.28805804451138534,0.35168895181311155,0.6929799734193534,0.3070200265806151,0.021687873921691355,8.381834821428304,-0.14208940127761446,46251.07193143936
2025-03-04,0.28772181904961425,0.35198835583960575,0.6931010701683256,0.3068989298316429,0.02126354567490346,8.558870535714016,-0.14243216837077996,46486.007739429915
2025-03-06,0.2873855935878432,0.3522970886710305,0.693215456253146,0.30678454374682257,0.02079326642862262,8.688941964285442,-0.1428102282478893,46714.819368702134
2025-03-08,0.28617067099565496,0.35267263290004497,0.6932690283848985,0.3067309716150701,0.019938927967883324,8.904747767856863,-0.14296550873406763,46946.78024538408
2025-03-10,0.28495574840346666,0.353022195118838,0.6933288579608365,0.3066711420391318,0.019179576546050958,9.09000223214257,-0.14324035097280555,47159.6102502837
